#,Company Name,Status,Location,Verified,Where to apply,Roles,Job Type,Industry,Remarks
35,ACURA SOLUTIONS LTD,Hiring,Mumbai,No,httpswww.linkedin.comj,Zonal Manager- Fin,Full-Time,Marketing and Advertisi,
36,Adaequare,Hiring,Hyderabad,No,httpswww.linkedin.comj,Mobile Application ,Full-Time,Information Technology,
37,Addis Infotech,Hiring,Ahmedabad,No,httpswww.linkedin.comj,ISO Developer,Full-Time,IT Infrastucture,
38,Adit Security System Pvt. Ltd,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Software Developm,Full-Time,Others,
39,Aditya Birla Sun Life Insurance,Hiring,Mumbai,No,httpswww.linkedin.comj,Sales Training Mana,Full-Time,Financial Services,
40,Admatazz,Hiring freeze,Mumbai,,,,Full-Time,Marketing & Advertising,
41,Adomantra Digital India Pvt Ltd,Hiring,New Delhi,Yes,httpswww.linkedin.comj,Chief Financial Officer,Full-Time,Information Technology,
42,Ads & Url,Hiring,Delhi,No,httpswww.linkedin.comj,SEO Specialist,Full-Time,IT Infrastructure,
43,Advance.AI,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Business Dev,Full-Time,Information Technology,
44,Advanced,Hiring,Bengaluru,No,httpswww.linkedin.comj,Principal Software E,Full-Time,Business Software,
45,Aertrip,Hiring,Mumbai,No,httpswww.linkedin.comj,Team Lead,Full-Time,Tourism,
46,Aethra Technologies Inc,Hiring,Chennai,No,httpswww.linkedin.comj,Dotnet Developer,Full-Time,Information Technology,
47,Affle,Hiring,Bengaluru,No,httpswww.linkedin.comj,CC++ Developer,Full-Time,Information Technology,
48,AffordPlan,Hiring,Gurgaon,No,httpswww.linkedin.comj,Backend Developer,Full-Time,Financial Services,
49,AgBe Technologies,Hiring,Gurgaon,No,httpswww.linkedin.comj,Django Developer,Full-Time,IT Infrastucture,
50,AgNext Technologies,Hiring,Chandigarh,No,httpswww.linkedin.comj,Front End Developer,Full-Time,Information Technology,
51,Agnikul Cosmos,Hiring,Chennai,No,httpswww.linkedin.comj,Missio Design Softw,Full-Time,Others,
52,Agrocorp International Pte Ltd,Hiring,Delhi,No,httpswww.linkedin.comj,Territory Sales Execu,Full-Time,Trade,
53,AgroStar,Hiring,Pune,No,httpswww.linkedin.comj,Payroll Operations- ,Full-Time,Information Technology,
54,AIG,Hiring,Bengaluru,No,httpswww.linkedin.comj,Junior Manager- Ap,Full-Time,Financial Services,
55,AIGrow,Hiring,Surat,No,httpswww.linkedin.comj,Full stack web devel,Full-Time,Agriculture  Dairy,
56,AIMonk Labs Pvt Ltd,Hiring,Bengaluru,No,httpswww.linkedin.comj,Front End Developer,Full-Time,Business Software,
57,AIR,Hiring freeze,Hyderabad,,,,,ArchitectureInterior De,
58,Air India Express,Hiring freeze,,,,,,Aviation,
59,Air Products,Hiring,Pune,Yes,httpswww.linkedin.comj,Senior EHs Officer,Full-Time,Chemials  PetroChemic,
60,AIR Worldwide,Hiring,Hyderabad,No,httpswww.linkedin.comj,Spotfire Admin,Full-Time,Business Software,
61,Airbase,Hiring,Delhi,No,httpswww.linkedin.comj,Sr. Product Manager,Full-Time,Financial Services,
62,Airtel,Hiring,Gurugram,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Publishing,
63,Airtel Africa,Hiring,Gurgaon,No,httpswww.linkedin.comj,Big Data Developer,Full-Time,IT Infrastucture,
64,airtel X Labs,Hiring,Gurgaon,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Information Technology,
65,Airtrips,Hiring,Delhi,No,httpswww.linkedin.comj,Full Stack Engineer,Full-Time,Tourism,
66,AiSpace,Hiring freeze,Delhi,,,,,IT Infrastucture,
67,Aitek Group,Hiring,Gurgaon,No,httpswww.linkedin.comj,Java Application De,Full-Time,IT Infrastucture,
68,AJACKUS,Hiring,Mumbai,No,httpswww.linkedin.comj,Full Stack PHP Devel,Full-Time,IT Infrastructure,
69,Ajanta Bottle Pvt Ltd,Hiring,Delhi,No,httpswww.linkedin.comj,Zoho Developer wit,Full-Time,Packaging,
70,AJIO,Hiring,Bengaluru,No,httpswww.linkedin.comj,Engineering Manager,Full-Time,Retail,
71,Ajira Tech,Hiring,Chennai,No,httpswww.linkedin.comj,Lead Software Engin,Full-Time,IT Infrastucture,
72,Akamai Technologies,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Information Technology,
73,Akna Medical Pvt Ltd,Hiring,Bengaluru,No,httpswww.linkedin.comj,Full-Stack Rails Deve,Full-Time,Healthcare,
74,AKQA,Hiring,Gurgaon,No,httpswww.linkedin.comj,Adobe Campaign D,Full-Time,Creative Arts  Design,
75,AKS Pro Talent,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Business Analyst,Full-Time,IT Infrastructure,
76,Aktana,Hiring,Pune,Yes,httpswww.linkedin.comj,Lead Software Engin,Full-Time,Business Software,
77,Alca Media,Hiring,Nasik,No,httpswww.linkedin.comj,Business Developm,Full-Time,IT Infrastucture,
78,Alchemy Group,Hiring,Delhi,No,httpswww.linkedin.comj,Business Developm,Full-Time,Marketing & Advertising,
79,Alcon,Hiring,Bengaluru,No,httpswww.linkedin.comj,AGS Training Manag,Full-Time,Healthcare,
80,Alcor Solutions Inc,Hiring,Noida,No,httpswww.linkedin.comj,Inside Sales Speciali,Full-Time,IT Infrastucture,
81,AlgoSec,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Software Automatio,Full-Time,IT Infrastructure,
82,Alien Technology Transfer,Hiring,Hyderabad,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Consulting & Services,
83,ALK TALENT SEARCH (udaan.c,Layoffs,NADIA WEST BE,,NADIA WEST BENGAL,BUSINESS DEVELOP,Full-Time,Ecommerce,
84,ALL IN ONE CYBERTEAM,Hiring,Delhi,No,httpswww.linkedin.comj,Backend Developer,Full-Time,IT Infrastructure,
85,All Scripts,Hiring,Pune,No,httpswww.linkedin.comj,MS Software Engineer,Full-Time,Business Software,
86,Allegion,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Others,
87,Alliance Technologies,Hiring freeze,Gurgaon,,,,,IT Infrastructure,
88,Allied Flying Solution,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Hotel Supervisor,Full-Time,Energy,
89,Allied Flying Solution,Hiring,Kurukshetra,Yes,httpswww.linkedin.comj,Factory Manager,Full-Time,Healthcare,
90,Allscripts,Hiring,Vadodra,Yes,httpswww.linkedin.comj,Associate system su,Full-Time,Business Software,
91,AlphaICS Corporation,Hiring,Bengaluru,No,httpswww.linkedin.comj,AI Software Engineer,Full-Time,Engineering,
92,Alphaserve Technologies,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,,
93,ALTEN Calsoft Labs,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Project Managemen,Full-Time,IT Infrastructure,
94,AlTimetrik,Hiring,Chennai,Yes,httpswww.linkedin.comj,Full Stack Engineer,Full-Time,Business Software,
95,Amaris,Hiring,Mumbai,No,httpswww.linkedin.comj,PHP Developer,Full-Time,Consumer Goods,
96,Amazon,Hiring,Mumbai,No,httpswww.linkedin.comj,IN Development Co,Full-Time,E-Commerce,
97,AMC Corporation,Hiring,Lucknow,No,httpswww.linkedin.comj,Area Marketing Ma,Full-Time,Chemicals  PetroChemi,
98,Amdocs,Hiring,Pune,No,httpswww.linkedin.comj,Software Developer,Full-Time,Telecom,
99,American Express Global Busi,Hiring freeze,Gurgaon,,,,,Tourism,
100,American Home Shield,Hiring,Pune,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Consumer Services,
101,Ameriprise Financial Services, ,Hiring,Gurgaon,No,httpswww.linkedin.comj,Team Lead-Bus Anal,Full-Time,Financial Services,
102,AMETEK,Hiring,India,No,httpswww.linkedin.comj,Director Finance,Full-Time,Manufacturing,
103,AMI,Hiring,Chennai,No,httpswww.linkedin.comj,Python Developer,Full-Time,IT Infrastucture,
104,An International NGO workin,Hiring,Delhi,No,httpswww.linkedin.comj,Talent Growth Regio,Full-Time,NGO  Social Services,
105,Analytic Quotient,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Engineer,Full-Time,Consulting & Services,
106,Angel Broking,Hiring,Mumbai,No,httpswww.linkedin.comj,Zonal Manager,Full-Time,Business Software,
107,Angel Broking,Hiring,Mumbai,No,httpswww.linkedin.comj,Data Scientist,Full-Time,Financial Services,
108,Animaker Inc,Hiring,Chennai,No,httpswww.linkedin.comj,Front End Developer,Full-Time,Creative Arts  Design,
109,Anlage Infotech Pvt Ltd,Hiring,Mumbai,No,httpswww.linkedin.comj,Senior Finance Man,Full-Time,IT Infrastucture,
110,Annalect,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior FullStack Dev,Full-Time,Marketing & Advertising,
111,Ansrsource,Layoffs,Bengaluru,,,,,,
112,Antal International,Hiring,Pune,Yes,httpswww.linkedin.comj,CEO- EP Specialist,Full-Time,Marketing & Advertsing,
113,Antillia LLC,Hiring freeze,Bengaluru,,,,,IT Infrastucture,
114,APC Books (Arya Publications),Hiring,New Delhi,Yes,httpswww.linkedin.comj,Editor,Full-Time,Publishing,
115,apex analytix,Hiring,Delhi,No,httpswww.linkedin.comj,Senior System Admi,Full-Time,Information Technology,
116,Apollo 247,Hiring,Gurgaon,No,httpswww.linkedin.comj,Backend Developer,Full-Time,Healthcare,
117,App Dynamics,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Business Software,
118,AppDirect,Hiring,Pune,No,httpswww.linkedin.comj,Senior Automation ,Full-Time,IT Infrastucture,
119,Appen,Hiring,Delhi,No,httpswww.linkedin.comj,Work from Home  P,Full-Time,IT Infrastructure,
120,Appineventiv,Hiring,Noida,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,IT Infrastucture,
121,Apple,Hiring,Gurugram,No,httpswww.linkedin.comj,India Payroll Analyst,Full-Time,Consumer Tech,
122,Applied electro magnetics Pvt,Hiring,Delhi,Yes,httpswww.linkedin.comj,Customer Executive,Full-Time,Manufacturing,
123,Applied Electro-Magnetics Pv,Hiring,Delhi,No,httpswww.linkedin.comj,Brand Manager,Full-Time,Manufacturing,
124,Applied Materials,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Lead Operations An,Full-Time,Engineering,
125,Applied-Electro Magnetics Pv,Hiring,Delhi,No,httpswww.linkedin.comj,Business Developm,Full-Time,Manufacturing,
126,AppRoarr Studios,Hiring,Delhi,No,httpswww.linkedin.comj,Game Developer,Full-Time,Information Technology,
127,Appscrip,Hiring,Bengaluru,No,httpswww.linkedin.comj,Unity Developer,Full-Time,IT Infrastucture,
128,AppSquadz,Hiring,Noida,No,httpswww.linkedin.comj,Product Manager,Full-Time,IT Infrastucture,
129,Apptio,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Developm,Full-Time,Business Software,
130,AppViewX,Hiring,Tamil Nadu,No,httpswww.linkedin.comj,Product Designer,Full-Time,IT Infrastructure,
131,Aptean,Hiring,Bengaluru,No,httpswww.linkedin.comj,Manager- Develop,Full-Time,Business Software,
132,Apttus,Hiring,Pune,Yes,httpswww.linkedin.comj,Staff Database Engi,Full-Time,Business Software,
133,ARA Resources Pvt. Ltd,Hiring,Delhi,Yes,httpswww.linkedin.comj,Trainer Personality D,Full-Time,Aviation,
134,Arcadis,Hiring,Mumbai,No,httpswww.linkedin.comj,Senior GIS Consultant,Full-Time,Engineering,
135,Arcesium,Hiring,Hyderabad,No,httpswww.linkedin.comj,Senior Software Eng,Full-Time,IT Infrastructure,
136,Archeplay Software,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Cloud & DevOps En,Full-Time,IT Infrastructure,
137,ARI,Hiring,Bengaluru,No,httpswww.linkedin.comj,Senior Java Developer,Full-Time,Engineering,
138,Arista Networks,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Software Engineer,Full-Time,IT Infrastructure,
139,Aristocrat,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Senior Software Eng,Full-Time,Others,
140,Arkadin,Hiring,Noida,Yes,httpswww.linkedin.comj,Software Developm,Full-Time,Telecom,
141,Armax Automation Pvt Ltd,Hiring,Bengaluru,No,httpswww.linkedin.comj,Mean Stack Develop,Full-Time,Manufacturing,
142,Armentum,Hiring,Bengaluru,No,httpswww.linkedin.comj,UI UX Designer,Full-Time,Business Software,
143,Arminus,Hiring,Chennai,No,httpswww.linkedin.comj,Java FSD Architect,Full-Time,Information Technology,
144,Armsprime Media,Hiring,Maharashtra,No,httpswww.linkedin.comj,iOS Developer,Full-Time,Media & Entertainment,
145,Arris,Hiring freeze,Bengaluru,,,,,Telecom,
146,Arrow Electronics,Hiring,Bengaluru,No,httpswww.linkedin.comj,Web Engineer III,Full-Time,IT Infrastucture,
147,Artemis Profs,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Senior PHP Developer,Full-Time,IT Infrastructure,
148,Arya.ai,Hiring,Mumbai,No,httpswww.linkedin.comj,Data Scientist,Full-Time,Information Technology,
149,Asanna,Hiring freeze,,,,,,,
150,Ascendeum,Hiring,Gurgaon,No,httpswww.linkedin.comj,Business Developm,Full-Time,Marketing & Advertising,
151,Ascendum,Hiring,Gurgaon,No,httpswww.linkedin.comj,Business Developm,Full-Time,Marketing & Advertising,
152,Ascent Business Technology,Hiring,Mumbai,No,httpswww.linkedin.comj,Technical Lead - Ban,Full-Time,Financial Services,
153,Ascentix Software Developme,Hiring,Chandigarh,No,httpswww.linkedin.comj,HR Generalist,Full-Time,IT Infrastucture,
154,ASHOKA,Hiring,Delhi,Yes,httpswww.linkedin.comj,Volunteer Web Desi,Full-Time,NGO  Social Services,
155,Asian College of Teachers,Layoffs,Kolkata,,,,,Education Tech,They are suddenly talk to u
156,ASSA ABLOY Group,Hiring,Chennai,No,httpswww.linkedin.comj,Senior Cloud Securit,Full-Time,Information Technology,
157,Assertion,Hiring,Delhi,Yes,httpswww.linkedin.comj,Channel Account M,Full-Time,IT Infrastructure,
158,Associated Resource Company,Hiring,Guwahati,No,httpswww.linkedin.comj,Teritory sales manag,Full-Time,Consumer Goods,
159,Asteria Aerospace,Hiring,Bengaluru,No,httpswww.linkedin.comj,HR Manager,Full-Time,Aviation,
160,Astro-Vision Futuretech Pvt. L,Hiring,Kochi,Yes,httpswww.linkedin.comj,Android Developer,Full-Time,IT Infrastructure,
161,ATCSEARCH,Hiring,Remote,Yes,httpswww.linkedin.comj,Senior Sales Engineer,Full-Time,Business Software,
162,AtDrive Group,Hiring,Noida,Yes,httpswww.linkedin.comj,Full Stack PHP Devel,Full-Time,IT Infrastructure,
163,Ather Energy Pvt Ltd,Hiring freeze,Bengaluru,,,,,Automotive,
164,Atidiv,Layoffs,,,,,,,
165,ATS Infrastructure,Hiring,Noida,Yes,httpswww.linkedin.comj,Senior Executive Acc,Full-Time,Real Estate,
166,ATZ Properties,Hiring,Bengaluru,No,httpswww.linkedin.comj,HR Manager,Full-Time,Real Estate,
167,Auro,Hiring,Bengaluru,No,httpswww.linkedin.comj,Android Developer,Full-Time,WellnessFitnessSports,
168,Aurora Health Innovations LLP,Hiring,Bengaluru,No,httpswww.linkedin.comj,UX Designer,Full-Time,WellnessFitnessSports,
169,Australian Trade and Investm,Hiring,Delhi,No,httpswww.linkedin.comj,Business Developm,Full-Time,Government Administrat,
170,AuthBridge Research Services,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Node JS,Full-Time,Education Tech,
171,Autodesk,Hiring,Delhi,No,httpswww.linkedin.comj,Account Based Mar,Full-Time,Business Software,
172,Automate.io,Hiring,Hyderabad,No,httpswww.linkedin.comj,Front End Developer,Full-Time,IT Infrastucture,
173,Automation Anywhere,Hiring,Bengaluru,No,httpswww.linkedin.comj,Technical Lead,Full-Time,Business Software,
174,Autonom8 Inc,Hiring,Chennai,Yes,httpswww.linkedin.comj,Frontend Developer,Full-Time,Business Software,
175,Avail Finance,Layoffs,Delhi, Bengaluru,,,,,Financial Services,
176,Avalara,Hiring,Chennai,No,httpswww.linkedin.comj,Product Manager,Full-Time,Business Software,
177,Avalon Information Systems P,Hiring freeze,Delhi,,,,,IT Infrastructure,
178,Avana Medical Devices Pvt Ltd,Hiring freeze,Bengaluru,,,,,Healthcare,
179,Avance Consultancy,Hiring freeze,India,,,,,Consulting & Services,
,,,,,,,,,
180,Avankia LLC,Hiring freeze,,,,,,Business Software,
181,Avantari Technologies Pvt Ltd,Hiring,Hyderabad,No,httpswww.linkedin.comj,Embedded Engineer,Full-Time,Information Technology,
182,Avantor,Hiring,Coimbatore,No,httpswww.linkedin.comj,Team Leader- Accou,Full-Time,Healthcare,
183,Avasant,Hiring freeze,,,,,,Consulting & Services,
184,Avathara,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Backend Developer,Full-Time,IT Infrastructure,
185,Averda,Hiring,Delhi,No,httpswww.linkedin.comj,Tax SpecialistSenior,Full-Time,NGO  Social Services,
186,Avery Dennison,Hiring,Gurgaon,No,httpswww.linkedin.comj,RPA Business Analyst,Full-Time,Information Technology,
187,Avesta Computer Services,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,kafka specialist,Full-Time,IT Infrastructure,
188,Aveva PLC,Hiring freeze,Cambridge UK,,,,,Business Software,
189,Aviva India,Hiring freeze,,,,,,Financial Services,90% employees get layoffs
190,Avocation Educational Service,Hiring,Vidyavihar, Mum,,jobs@yocket.in,,Full-Time,Education Tech,
191,Avon,Hiring,Thane,No,httpswww.linkedin.comj,AREA SALES MANA,Full-Time,Others,
192,Avrio Energy Pvt Ltd,Hiring,Gurgaon,,httpswww.hirist.comjan,Android Developer,Full-Time,Energy,Urgent Requirement - Can
193,Avya Modular Systems Pvt Ltd,Hiring,Mumbai,No,httpswww.linkedin.comj,Business Developm,Full-Time,Manufacturing,
194,Awfis Space Solutions Pvt Ltd,Hiring,Delhi,No,httpswww.linkedin.comj,Manager Corporate ,Full-Time,Real Estate,
195,AXA XL, a division of AXA,Hiring,Bengaluru,No,httpswww.linkedin.comj,Analyst- Policy Man,Full-Time,Financial Services,
196,Axcess Consultancy Services,Hiring,Mumbai,No,httpswww.linkedin.comj,HR Recruiter,Full-Time,IT Infrastucture,
197,Axelerant,Hiring,Delhi,No,httpswww.linkedin.comj,Salesforce Solution ,Full-Time,Engineering,
198,Axestrack Software Solutions ,Hiring,Jaipur,Yes,httpswww.linkedin.comj,VP- Engineering,Full-Time,IT Infrastructure,
199,Axiom,Hiring freeze,Hyderabad,,,,,Manufacturing,
200,Axis Bank,Hiring,Goa,No,httpswww.linkedin.comj,Private Banker,Full-Time,Financial Services,
201,Axis Electrical Components (I),Hiring,Mumbai,No,httpswww.linkedin.comj,Manager- Sales,Full-Time,Manufacturing,
202,Axis Securities Limited,Hiring,Kolkata,Yes,httpswww.linkedin.comj,Equity Advisor- PCG,Full-Time,Financial Services,
203,AxleWeb Technologies,Hiring,Rewa,,httpsaxlewebtech.freshte,Chatbot Developer, ,Full-Time,Business Software,
204,Axtria,Hiring,Gurgaon,No,httpswww.linkedin.comj,Salesforce Architect,Full-Time,Healthcare,
205,Axtrum Solutions,Hiring freeze,,,,,,,
206,Ayla Netwroks,Hiring,Greater Bengalu,No,httpswww.linkedin.comj,Senior Product Man,Full-Time,Information Technology,
207,B9 Beverages,Hiring freeze,India,,,,,Consumer Goods,Hiring freeze for now. Incre
208,Baatein,Hiring,Delhi,Yes,httpswww.linkedin.comj,Social Media Market,Full-Time,Others,
209,BAeHAL Software Ltd,Hiring,Chandigarh,No,httpswww.linkedin.comj,Data Integration An,Full-Time,IT Infrastructure,
210,Bahwan CyberTek,Hiring,Chennai,No,httpswww.linkedin.comj,Sales Manager,Full-Time,IT Infrastucture,
211,Bain & Company,Hiring,Gurugram,No,httpswww.linkedin.comj,Digital Asset Manag,Full-Time,IT Infrastructure,
212,Bain & Company,Hiring,Gurgaon,No,httpswww.linkedin.comj,ASSOCIATE, DIGITAL,Full-Time,Hospitality,
213,Bain & Company India Pvt. Ltd,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,ASSOCIATE, DIGITAL,Full-Time,IT Infrastructure,
214,Bain and Company,Hiring freeze,,,,,,Consulting & Services,
215,Bajaj Allianz,Hiring,Delhi,,httpcareers.bajajallianz.c,Sales Manager,Full-Time,Financial Services,Linkedin post httpswww.l
216,Bajaj Finserv,Hiring,Pune, Delhi, Ban,,httpswww.linkedin.comc,Multiple Openings,Full-Time,Financial Services,
217,Baker Hughes,Hiring,Mumbai,No,httpswww.linkedin.comj,Staff Product Securit,Full-Time,Energy,
218,Balancehero India,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Head Information Te,Full-Time,Financial Services,
219,Bank of America Merrill Lynch,Hiring,Hyderabad,No,httpswww.linkedin.comj,Team Developer,Full-Time,Financial Services,
220,Banyan Data Services,Hiring,Bengaluru,No,httpswww.linkedin.comj,Business Developm,Full-Time,IT Infrastructure,
221,Banzai Health,Hiring,Kerala,No,httpswww.linkedin.comj,Frontend Web Devel,Full-Time,Healthcare,
222,Barbeque Nation,Hiring freeze,,,,,,Food & Dining,50% monthly salary pay de
223,BARCLAYS,Hiring,Delhi,No,httpswww.linkedin.comj,AML Operations An,Full-Time,Financial Services,
224,BASF,Hiring freeze,,,,,,Chemicals  PetroChemi,
225,Baxter International,Hiring,Ahmedabad,No,httpswww.linkedin.comj,Associate- Quality C,Full-Time,Healthcare,
226,BAYSIDE Global Electronics Pv,Hiring,Hyderabad,No,httpswww.linkedin.comj,Senior Design Engin,Full-Time,Consumer Goods,
227,Bazaarvoice,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Sr Software Engineer,Full-Time,Business Software,
228,BDS VirCon,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Full Stack Developer,Full-Time,Construction,
229,Bean Architect,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Senior Concept Desi,Full-Time,IT Infrastructure,
230,Beckman Coulter Diagnostics,Hiring,Bengaluru,No,httpswww.linkedin.comj,Software Design En,Full-Time,Healthcare,
231,Behtar Zindagi  Agritech,Hiring,Delhi,Yes,httpswww.linkedin.comj,Python Developer,Full-Time,Agriculture  Dairy,
,,,,,,,,,
232,Being User,Hiring,Bengaluru,No,httpswww.linkedin.comj,UX Design Manager,Full-Time,Recruitment,
233,Believe,Hiring,Mumbai,No,httpswww.linkedin.comj,Manager-HR Operat,Full-Time,Media & Entertainment,
234,Beltech,Hiring,Bengaluru,Yes,httpswww.linkedin.comj,Backend Developer,Full-Time,Business Software,
235,Benovymed Healthcare Privat,Hiring,Gurgaon,,httpswww.hirist.comjbe,Co-FounderChief D,Full-Time,Healthcare,
236,Better.com,Hiring freeze,,,,,,Financial Services,
237,Betterlives Ventures,Hiring,Gurgaon,Yes,httpswww.linkedin.comj,Web developement,Internship,Business Software,
238,BetterPlace,Hiring,Bengaluru,No,httpswww.linkedin.comj,Digital Marketing,Full-Time,Information Technology,
239,Betterplace Safety Solutions,Hiring,India,No,httpswww.linkedin.comj,Senior Manager - Sk,Full-Time,Communications,Hiring for BDE, Sr.BDE, Assi
240,Beyond Stay,Hiring,Ahmedabad,No,httpswww.linkedin.comj,Sales Manager,Full-Time,Tourism,
241,BeyondID,Hiring,Bengaluru,No,httpswww.linkedin.comj,Sales Development ,Full-Time,IT Infrastucture,
242,BharatPe,Hiring,Delhi NCR, Mum,,httpsbharatpe.comcareer,Multiple Openings,Full-Time,Financial Services,
243,Bharti Airtel,Hiring,Gurgaon,No,httpswww.linkedin.comj,Data Operations Exe,Full-Time,Communications,
244,Bhatia International Limited,Hiring,Delhi, Ludhiana,,No,httpswww.linkedin.comj,Multiple Openings,Full-Time,Trade,
245,Bi-SoT,Hiring,Bengaluru,No,httpswww.linkedin.comj,Native Android Dev,Part-Time,IT Infrastucture,
